Date,Open,High,Low,Close
01-01-2020,755,760,747.25,748.9
31-12-2019,754.1,765.9,751.2,754
30-12-2019,760,765.6,751.2,754.2
27-12-2019,738.15,762.2,736.1,760.7
26-12-2019,739,740.45,733.8,736.15
24-12-2019,743,744.55,737.7,740.45
23-12-2019,740.9,748.25,736.8,743.55
20-12-2019,742,747.4,737.4,739.7
19-12-2019,742,749.65,741.15,742.75
18-12-2019,742.8,748.3,737.7,742
17-12-2019,747.1,756.4,741.6,745.55
16-12-2019,753.7,754.8,746.3,747.1
13-12-2019,727.1,753.85,725.3,752
12-12-2019,717.55,725.35,715.2,721.6
11-12-2019,711.95,722.25,709.3,716.45
10-12-2019,731.5,732.35,714.2,715.35
09-12-2019,714.9,733.8,710.25,731.95
06-12-2019,734.7,735.25,715,717.55
05-12-2019,745,745,725.15,729.5
04-12-2019,730,746.75,729.5,739.75
03-12-2019,745.9,745.9,730.95,733.25
02-12-2019,740,745.8,737.55,744.2
29-11-2019,750.55,756.4,737,739.5
28-11-2019,752.5,755.65,745.55,750.55
27-11-2019,753,763.95,749,752.45
26-11-2019,758.45,761.85,744.2,752.25
25-11-2019,733,756.45,730.6,754.8
22-11-2019,738.4,740,727.75,732.1
21-11-2019,748,748.05,735.1,737.15
20-11-2019,747,753.8,741.25,748.8
19-11-2019,729.9,750,726.05,747.85
18-11-2019,716,725.3,712.35,723.05
15-11-2019,717.9,723.4,710.25,716.55
14-11-2019,710,721.5,707.5,715.85
13-11-2019,734.7,737.2,706.95,710.25
11-11-2019,726.9,735.5,721.55,733.6
08-11-2019,737,737,723.1,725.45
07-11-2019,749.6,755.95,732.75,734.65
06-11-2019,739.45,750.25,728.5,747.1
05-11-2019,744.9,745.85,730.8,737.6
04-11-2019,753,755.45,735.7,742.15
01-11-2019,738.9,749.85,727.65,748.3
31-10-2019,747.25,750.05,732,736
30-10-2019,744.9,750,735.8,747.65
29-10-2019,708,742.9,704.2,739.15
27-10-2019,714.95,714.95,708.65,710.3
25-10-2019,707.45,710.6,695,708.05
24-10-2019,717.6,722.8,702.2,707.45
23-10-2019,713.1,730,710.1,714.8
22-10-2019,714.7,722.65,704.25,712.7
18-10-2019,710.9,715.2,705.7,709.2
17-10-2019,691.5,712.4,691,710.55
16-10-2019,694.3,695.45,683.7,693.5
15-10-2019,683.65,694.9,681.8,690
14-10-2019,675.2,693.8,673.7,683.55
11-10-2019,675.1,685.9,668.7,672.5
10-10-2019,681.9,681.9,665.45,672.9
09-10-2019,673.8,689.4,664.6,686.3
07-10-2019,662.5,681.7,651.8,672.75
04-10-2019,672,677,651.9,656.15
03-10-2019,675,675.5,647.25,668.25
01-10-2019,686.25,701.05,656.35,679.7
30-09-2019,704.9,711.75,682.05,684.65
