Date,Open,High,Low,Close,,,
01-01-2020,1510.6,1523.55,1481.15,1484.6,74630,42.4,26
31-12-2019,1530,1531.45,1506,1510.6,48741,25.45,19.4
30-12-2019,1529,1552.3,1519.75,1530.6,77250,32.55,-1.6
27-12-2019,1522,1540,1511.5,1523.85,72838,28.5,-1.85
26-12-2019,1524.8,1529.5,1504.8,1514.15,71326,24.7,10.65
24-12-2019,1503,1531.2,1494.55,1521.35,178267,36.65,-18.35
23-12-2019,1488.9,1501.8,1479.15,1496.1,39924,22.65,-7.2
20-12-2019,1491,1508.7,1482.9,1487.55,72357,25.8,3.45
19-12-2019,1499,1504.85,1478.45,1489.95,88193,26.4,9.05
18-12-2019,1501,1503.55,1490,1501.4,60256,13.55,-0.4
17-12-2019,1505,1508.65,1486.55,1492.4,92667,22.1,12.6
16-12-2019,1502.1,1506.6,1483.8,1493.3,129550,22.8,8.8
13-12-2019,1450,1494,1450,1486.95,83518,44,-36.95
12-12-2019,1436,1450.2,1422.35,1442.65,119941,27.85,-6.65
11-12-2019,1415,1432.65,1395.85,1418.8,117347,36.8,-3.8
10-12-2019,1459.95,1460.45,1409.4,1411.35,70771,51.05,48.6
09-12-2019,1463.75,1485,1446,1449.95,114730,39,13.8
06-12-2019,1513,1518.35,1455.3,1463.75,100874,63.05,49.25
05-12-2019,1545,1548.3,1506.45,1509.85,92776,41.85,35.15
04-12-2019,1544,1554,1523,1544,106927,31,0
03-12-2019,1575.25,1580,1533.3,1544.9,88837,46.7,30.35
02-12-2019,1590.1,1596.35,1561.55,1576.2,98225,34.8,13.9
29-11-2019,1558,1581.15,1554.15,1569.2,303003,27,-11.2
28-11-2019,1526,1576.2,1522.6,1568.65,166457,53.6,-42.65
27-11-2019,1520,1537.1,1508.6,1527.65,113522,28.5,-7.65
26-11-2019,1496,1520.95,1481,1517,172170,39.95,-21
25-11-2019,1449.45,1499.7,1448,1497.2,132984,51.7,-47.75
22-11-2019,1450,1460,1437.25,1446.65,76582,22.75,3.35
21-11-2019,1475,1500.15,1438.3,1446.3,227226,61.85,28.7
20-11-2019,1412,1478,1402.75,1468.7,230364,75.25,-56.7
19-11-2019,1380,1408.65,1375,1392.1,153063,33.65,-12.1
18-11-2019,1368.7,1379.8,1359.2,1374.8,79433,20.6,-6.1
15-11-2019,1375.1,1388.15,1346.9,1359.5,118555,41.25,15.6
14-11-2019,1404.8,1404.8,1354,1374.4,139870,50.8,30.4
13-11-2019,1444.9,1462,1407.95,1413.85,123521,54.05,31.05
11-11-2019,1418,1455,1408.5,1444.9,147127,46.5,-26.9
08-11-2019,1362,1453.35,1360,1423.5,369725,93.35,-61.5
07-11-2019,1359,1396.95,1352.75,1380.9,171153,44.2,-21.9
06-11-2019,1320,1353,1310,1342.25,131325,43,-22.25
05-11-2019,1360,1360.5,1314.1,1319.3,105836,46.4,40.7
04-11-2019,1372.1,1393.5,1347.2,1351.75,140620,46.3,20.35
01-11-2019,1328.5,1385.05,1318.45,1379.45,277361,66.6,-50.95
31-10-2019,1307,1343.95,1290,1311.5,235391,53.95,-4.5
30-10-2019,1305.9,1323.65,1282.75,1295.8,97452,40.9,10.1
29-10-2019,1275,1325.75,1264.1,1315.45,407959,61.65,-40.45
27-10-2019,1283.4,1290,1273.25,1276.65,10943,16.75,6.75
25-10-2019,1285,1285.7,1260.25,1271.65,101111,25.45,13.35
24-10-2019,1332.15,1346.7,1272.25,1282.2,205361,74.45,49.95
23-10-2019,1344.8,1347.55,1310,1332.55,104887,37.55,12.25
22-10-2019,1349.6,1357.3,1319.75,1340.65,101494,37.55,8.95
18-10-2019,1338,1361,1317.5,1341.65,192119,43.5,-3.65
