Date,Open,High,Low,Close
01-01-2020,126.5,126.5,126.5,126.5
31-12-2019,127.24,127.24,126.74,126.87
30-12-2019,126.9,126.9,126.9,126.9
27-12-2019,126.1,126.65,126.1,126.55
26-12-2019,126.25,127.25,126.25,127.25
24-12-2019,127.2,127.2,126.9,126.9
23-12-2019,127.2,127.5,127.2,127.2
20-12-2019,127.25,127.25,127.25,127.25
19-12-2019,127,131.6,126.52,126.61
18-12-2019,126,128,125.94,127.86
13-12-2019,124.5,125,124.5,125
12-12-2019,123.45,125.45,123.45,124.79
11-12-2019,123,123,123,123
10-12-2019,123.7,123.7,123.25,123.25
09-12-2019,125.5,125.5,123.95,124.1
06-12-2019,124.75,124.75,124,124
05-12-2019,125.25,125.5,125.25,125.5
04-12-2019,125.1,125.1,124.25,124.25
03-12-2019,125.1,125.25,124.5,124.5
02-12-2019,128,128,125.27,125.5
29-11-2019,126,126,125.5,125.5
28-11-2019,126,127.54,125.75,125.97
27-11-2019,125,125.08,124.98,125.08
25-11-2019,124.05,125,124.05,125
22-11-2019,124.5,124.5,124,124
21-11-2019,124.75,126,124.54,124.54
20-11-2019,124.5,124.75,124.5,124.65
19-11-2019,123.4,123.83,123.4,123.76
18-11-2019,123.5,123.5,123.5,123.5
15-11-2019,123.75,123.75,123.16,123.16
14-11-2019,127.4,127.4,123.25,123.5
13-11-2019,124.5,124.5,123.5,123.5
11-11-2019,124.37,124.5,124.37,124.5
08-11-2019,124.5,124.77,124,124.05
07-11-2019,127,127,124.29,125.28
06-11-2019,124,124.5,124,124.5
05-11-2019,124.5,124.5,124,124
04-11-2019,121,124,121,123.99
01-11-2019,124.63,124.63,124,124
31-10-2019,124.1,124.63,123.71,124.63
30-10-2019,123,123.19,123,123.19
29-10-2019,121.38,123,121.38,122.9
25-10-2019,120.61,120.61,120.25,120.25
24-10-2019,121.85,122,120.6,121.25
23-10-2019,120.1,121,120.1,121
22-10-2019,121.25,121.25,121.25,121.25
18-10-2019,120.75,121,120.75,121
17-10-2019,120,120,119,120
16-10-2019,118.78,118.78,118.57,118.57
15-10-2019,117.75,118.75,117.75,118.75
14-10-2019,117.5,118.08,117.5,118.08
11-10-2019,117.43,117.5,116.79,116.79
10-10-2019,119,119,117.42,117.98
09-10-2019,116,117,115.55,117
07-10-2019,116.5,116.97,115.96,116
04-10-2019,118.75,118.75,117.25,118
03-10-2019,122,122,118.25,118.75
01-10-2019,119.4,119.4,117.75,118.1
30-09-2019,119.53,119.87,119,119.56
27-09-2019,120.6,120.6,120.5,120.51
26-09-2019,120.93,121.93,120.93,121.8
25-09-2019,120.63,120.63,119,119.41
24-09-2019,121.5,121.5,121,121.02
23-09-2019,119.2,121.52,119.2,121.4
20-09-2019,112,118.22,112,118.22
19-09-2019,117.5,117.5,113.5,113.75
18-09-2019,113.25,113.25,113.05,113.05
17-09-2019,114.55,114.55,113.8,114.5
16-09-2019,115,115.25,114.52,115.19
13-09-2019,114.65,115,114.65,115
12-09-2019,117.5,117.5,115,115
11-09-2019,115.25,115.25,115,115.25
09-09-2019,114,114.5,114,114.5
06-09-2019,114,114,113.25,113.75
05-09-2019,113.08,114.96,113.02,113.5
04-09-2019,112.5,112.5,112.5,112.5
03-09-2019,114.25,114.25,113,113.13
30-08-2019,113.95,114.5,113.95,114.5
29-08-2019,117.5,117.5,114.5,115.38
28-08-2019,115.57,115.57,115,115
27-08-2019,115.11,115.5,115.11,115.5
26-08-2019,112.75,114.5,112.75,114.5
23-08-2019,113,113,111,112.75
22-08-2019,113.5,114,113,113.32
21-08-2019,114.18,114.25,114,114
19-08-2019,115.25,115.5,115.25,115.5
16-08-2019,116,116,114.35,115.5
14-08-2019,114,114.5,114,114.5
13-08-2019,116,116,113.88,113.98
09-08-2019,115.25,115.75,115.25,115.75
08-08-2019,113.71,114.5,113,114.5
07-08-2019,113.81,113.81,113.25,113.39
06-08-2019,113.5,114,113.5,114
05-08-2019,114.5,114.5,112.56,113.5
02-08-2019,114.5,114.5,114.4,114.5
01-08-2019,115.36,115.5,115.16,115.16
31-07-2019,115.7,115.7,114.55,115.25
30-07-2019,116.45,116.5,115.74,115.74
29-07-2019,116.3,116.75,116,116
26-07-2019,117,117,116.75,116.75
25-07-2019,118,118.5,118,118.25
24-07-2019,117.3,117.3,116.85,117.25
23-07-2019,120,120,118,118.25
22-07-2019,119.5,119.5,118.1,118.48
19-07-2019,120.3,120.3,119.25,119.5
18-07-2019,123,123,120.55,120.55
17-07-2019,121.25,121.25,121.25,121.25
16-07-2019,120.5,120.75,120.36,120.75
15-07-2019,120,120,120,120
12-07-2019,119.89,121.95,119.85,119.85
11-07-2019,120.18,121.75,119.95,120
09-07-2019,120,120.5,119.75,119.75
08-07-2019,124,124,121,121
05-07-2019,123.95,123.95,123.75,123.75
04-07-2019,124.2,124.25,123.5,124
03-07-2019,123.7,123.7,123.7,123.7
01-07-2019,122.95,123,122.95,123
27-06-2019,122.63,123,122.63,123
26-06-2019,122.25,122.5,122.25,122.5
25-06-2019,121.25,121.75,121.25,121.75
24-06-2019,120.89,121.85,120.89,121.85
20-06-2019,124.95,124.95,121,122
19-06-2019,121.5,121.65,121.5,121.65
18-06-2019,120.9,120.9,120.9,120.9
17-06-2019,123,123,121.75,121.75
14-06-2019,127,127,123.05,123.25
13-06-2019,130,130,127,129
11-06-2019,127,127,126,126
10-06-2019,134,139,127,134
07-06-2019,129,130,129,130
06-06-2019,129,134,129,130
04-06-2019,128.95,132,128.95,132
03-06-2019,129,132,129,132
31-05-2019,129,129.5,129,129
30-05-2019,129,129,129,129
29-05-2019,126,126,126,126
28-05-2019,126.5,131,126.5,131
27-05-2019,126,131,126,131
24-05-2019,124,125,124,125
23-05-2019,125,139.5,125,125
22-05-2019,122.75,123,122.75,123
20-05-2019,119.75,121.62,119.75,121.61
17-05-2019,118,118,117.75,117.88
16-05-2019,116.5,120,116.1,116.5
15-05-2019,117,117.5,117,117.5
14-05-2019,117.5,117.5,117.5,117.5
13-05-2019,117.85,117.85,116.51,117.17
10-05-2019,119,119,117.75,117.88
09-05-2019,120,120.5,117.07,120.39
08-05-2019,120,120,118.85,118.85
07-05-2019,120.56,125,120.25,121.75
06-05-2019,120.95,120.95,120.95,120.95
03-05-2019,121.1,121.3,121.1,121.3
02-05-2019,121.75,124.5,121.5,122
30-04-2019,122.25,122.25,122,122
26-04-2019,121.25,124,121,122.73
25-04-2019,125,125,121.75,122.25
24-04-2019,98.9,124,98.9,121.13
23-04-2019,121,121,120.25,120.5
22-04-2019,125,128.7,121.21,121.75
18-04-2019,122.5,124,122.5,124
16-04-2019,121,122.75,121,122.75
15-04-2019,121,123,121,121.75
12-04-2019,120.75,121,120.75,121
11-04-2019,120.5,123,120.02,121
10-04-2019,121,121.25,120.91,120.91
09-04-2019,120.75,121.25,120.75,120.98
08-04-2019,121,121.5,121,121.5
05-04-2019,120.9,121.25,120.9,121.25
04-04-2019,121,121.75,120.77,121.55
03-04-2019,121,122,121,122
02-04-2019,121,121.8,121,121.8
01-04-2019,120.9,121.75,120.9,121.75
28-03-2019,119,119.75,119,119.75
27-03-2019,119.5,119.5,119.1,119.1
26-03-2019,118,119,118,118.98
25-03-2019,120,120,117.75,117.75
22-03-2019,119.75,119.75,119.75,119.75
20-03-2019,120.25,120.25,120.09,120.09
19-03-2019,118.98,119.75,118.98,119.75
18-03-2019,119.43,119.5,119.28,119.28
15-03-2019,119,119,119,119
14-03-2019,118.95,119.95,118.69,118.69
13-03-2019,118.64,118.64,117.59,117.79
12-03-2019,115,115,115,115
11-03-2019,115,116.3,115,116.3
08-03-2019,115.2,115.2,115.2,115.2
07-03-2019,114.75,114.75,114.75,114.75
06-03-2019,115,115,114.75,114.75
05-03-2019,113.25,114.25,112.95,114.25
01-03-2019,113,113,113,113
28-02-2019,112.5,112.5,112.5,112.5
27-02-2019,113.03,113.4,112.25,112.25
26-02-2019,113,113.03,111.82,113.02
25-02-2019,115,115,115,115
22-02-2019,111.7,111.7,111.7,111.7
21-02-2019,111.6,111.6,111.6,111.6
20-02-2019,110.75,110.95,110.75,110.86
19-02-2019,110.25,110.5,110.25,110.4
18-02-2019,112,112,110.86,111
15-02-2019,110.59,111.49,110.59,111.49
13-02-2019,112.5,113,112.21,112.21
12-02-2019,113,113,113,113
11-02-2019,113.69,113.69,113.39,113.39
08-02-2019,115,115,114.25,114.25
07-02-2019,115,120.7,115,115.5
06-02-2019,113.97,114.5,113.82,114.5
05-02-2019,113.75,113.75,113.75,113.75
04-02-2019,113.5,113.5,113.5,113.5
01-02-2019,113,114,113,114
31-01-2019,112.08,112.6,112.08,112.6
30-01-2019,111.76,111.76,111.76,111.76
29-01-2019,111.2,111.2,111.2,111.2
28-01-2019,111.48,111.48,111.48,111.48
25-01-2019,114.25,114.25,113,113
24-01-2019,112.76,113.55,112.76,113.55
23-01-2019,114.25,114.25,114.25,114.25
22-01-2019,114.23,114.23,114,114
21-01-2019,114.46,114.75,114.35,114.35
18-01-2019,114.49,114.49,114.49,114.49
17-01-2019,115,115,114.25,114.25
16-01-2019,114.12,114.25,114.12,114.25
15-01-2019,113.51,113.8,113.36,113.8
14-01-2019,112.91,112.91,112.61,112.7
11-01-2019,113.25,113.25,113.2,113.2
09-01-2019,113.5,114.25,113.25,113.25
08-01-2019,112.9,113,112.9,113
07-01-2019,113,113.25,112.81,112.81
04-01-2019,112.19,113.1,112.19,113.1
03-01-2019,113,113,112.5,112.55
02-01-2019,114.4,114.4,113.25,113.25
01-01-2019,114,114,114,114
31-12-2018,114,114,114,114
28-12-2018,113.75,113.75,113.75,113.75
27-12-2018,113,113,112.96,112.96
26-12-2018,111,112.25,110.8,112.24
24-12-2018,116,116,112.25,112.33
21-12-2018,114.6,114.6,114.11,114.11
20-12-2018,115,115.25,115,115
19-12-2018,114.5,114.75,114.5,114.75
18-12-2018,113.5,113.75,113.5,113.75
17-12-2018,113.49,114,113.49,114
14-12-2018,112.9,112.9,112.9,112.9
13-12-2018,113.35,113.35,113.35,113.35
12-12-2018,111.2,112.06,111.2,112.06
11-12-2018,108.96,109.5,108.96,109.5
10-12-2018,110.03,110.33,109.05,110.33
06-12-2018,112,112,111.15,111.2
05-12-2018,113,113.18,112.87,112.87
03-12-2018,114.25,114.25,113.75,113.75
30-11-2018,113.75,114,113.75,114
29-11-2018,112.75,113.5,112.75,113.5
28-11-2018,112,112.25,112,112.25
27-11-2018,111.75,111.75,111.25,111.25
26-11-2018,110.75,111,110.25,111
22-11-2018,111.25,111.25,110.75,110.75
21-11-2018,111.63,111.63,110.85,110.85
20-11-2018,112,112.25,111.89,112.25
19-11-2018,112,112.25,112,112.25
16-11-2018,111.5,111.75,111.29,111.29
15-11-2018,111,111,111,111
14-11-2018,111,111.2,111,111.2
13-11-2018,110.06,110.5,110,110.5
12-11-2018,111.25,111.25,110.5,110.5
09-11-2018,110.75,111,110.75,111
07-11-2018,112,112,111,111
06-11-2018,111,111,111,111
05-11-2018,110.75,110.75,110.75,110.75
02-11-2018,109.67,110.75,109.67,110.5
01-11-2018,109.25,109.5,109.25,109.5
31-10-2018,106.5,108.5,106.5,108.5
30-10-2018,107.5,107.5,107.5,107.5
29-10-2018,105,107,105,106.75
26-10-2018,107.45,109.95,105,105
25-10-2018,106.75,107,106.25,107
24-10-2018,107,107,107,107
23-10-2018,115.5,116.25,106,106
22-10-2018,115.5,120.5,115.5,116.5
19-10-2018,116.25,116.25,116.25,116.25
17-10-2018,117,120,116.5,116.5
16-10-2018,116,116,116,116
15-10-2018,113,116,110.3,115
12-10-2018,115,116,115,116
11-10-2018,114.5,114.5,114,114
10-10-2018,115.25,115.25,115.25,115.25
09-10-2018,115,115.5,115,115.5
08-10-2018,115,115,115,115
05-10-2018,115,115,115,115
04-10-2018,114.5,114.5,114.5,114.5
03-10-2018,116.5,116.5,116.05,116.05
01-10-2018,118,121,116,116
28-09-2018,115,115.5,115,115.5
27-09-2018,115.5,115.5,115.5,115.5
26-09-2018,115.5,115.5,115.5,115.5
25-09-2018,115,115.25,115,115.25
21-09-2018,118.65,118.65,114,114.89
19-09-2018,118.72,118.82,117.75,117.75
18-09-2018,119.5,119.5,118.36,118.49
17-09-2018,119.75,119.75,119.75,119.75
14-09-2018,119.25,119.75,119.25,119.75
12-09-2018,118.7,118.7,118,118.2
11-09-2018,120.05,120.05,118.75,118.75
10-09-2018,120.25,120.87,119.75,120
07-09-2018,120.5,121,120.5,121
06-09-2018,120.25,120.3,119.5,120.3
05-09-2018,120.73,120.73,119.46,119.46
04-09-2018,124,124,120.47,120.73
03-09-2018,122.5,126.5,122.5,126.5
30-08-2018,122.25,122.25,122.25,122.25
29-08-2018,123,123,122,122
28-08-2018,122,122.5,122,122.5
27-08-2018,120.75,121.75,120.75,121.58
24-08-2018,121,121,120.75,120.75
23-08-2018,120,121,120,121
21-08-2018,120.25,120.26,120.21,120.26
20-08-2018,120,120,120,120
17-08-2018,122,124,119,119.25
16-08-2018,118.4,119,118.3,118.3
13-08-2018,118.69,118.99,118.5,118.5
09-08-2018,119.75,119.75,119.7,119.7
08-08-2018,119.21,119.25,119.21,119.25
07-08-2018,118.9,118.9,118.83,118.83
06-08-2018,119.23,119.23,119,119
03-08-2018,117.5,117.5,117.5,117.5
01-08-2018,118,118.5,118,118.5
31-07-2018,117.75,118,117.75,117.82
30-07-2018,117.5,117.5,117.03,117.03
26-07-2018,116.25,116.25,116.25,116.25
25-07-2018,116,116,116,116
24-07-2018,115.25,115.25,115.25,115.25
23-07-2018,114,114.5,114,114.5
20-07-2018,115,115,114,114
19-07-2018,113.1,114,113.1,114
18-07-2018,115,115,114,114.2
13-07-2018,115,115,114.5,114.5
12-07-2018,115,115,115,115
11-07-2018,114.25,114.25,114.25,114.25
10-07-2018,113.98,114,113.98,114
09-07-2018,112,112,112,112
06-07-2018,112.5,112.5,111.75,111.75
05-07-2018,112.45,112.45,112.45,112.45
04-07-2018,111.5,111.5,111.5,111.5
02-07-2018,111.25,111.25,110.98,110.98
28-06-2018,111.25,111.25,110.25,110.25
27-06-2018,112.5,112.5,111.5,111.5
26-06-2018,112.25,112.25,112.25,112.25
22-06-2018,112.17,112.17,112.17,112.17
