Date,Open,High,Low,Close
01-01-2020,539.2,542.6,535.7,536.8
31-12-2019,544.1,544.1,538.1,538.75
30-12-2019,549.4,552.4,542.8,543.95
27-12-2019,540,550.5,538.3,549.4
26-12-2019,541.5,542.3,537.7,539
24-12-2019,541.7,543.7,539.5,541.05
23-12-2019,546,549,537.75,541.45
20-12-2019,541.8,549.5,540,545.85
19-12-2019,540,541.05,533.7,540
18-12-2019,542.8,543,535.95,541.6
17-12-2019,539.6,543.15,538.9,541.15
16-12-2019,539.8,541.25,536.8,538.9
13-12-2019,536.5,542.6,535.75,537.4
12-12-2019,535,536.95,529.75,535.05
11-12-2019,529.8,535.15,527.25,533.6
10-12-2019,526.9,530,524.8,529.15
09-12-2019,524.9,529.25,522.4,526.6
06-12-2019,530.4,533.6,521.65,524.75
05-12-2019,533,537.3,526.2,527.9
04-12-2019,510,531.35,509.55,529.35
03-12-2019,508,511.25,504.8,509
02-12-2019,514,514,507.4,510.85
29-11-2019,516.9,516.9,510.4,511.95
28-11-2019,508.6,520,508.15,519.2
27-11-2019,514.5,516.05,504.35,505.65
26-11-2019,501.8,517.5,500.95,511.1
25-11-2019,492.95,500,491.7,498.05
22-11-2019,501.7,501.7,492.05,496.75
21-11-2019,497,503.7,491.25,498.25
20-11-2019,496.5,497.95,492.6,494.9
19-11-2019,498.9,502,489.8,493.15
18-11-2019,499.3,504.5,496.6,498.25
15-11-2019,499,509.6,496.75,499.3
14-11-2019,490.3,499.9,483.55,498.75
13-11-2019,496.8,497.45,483.35,485.8
11-11-2019,487.9,499.35,484.6,496.95
08-11-2019,480,495.9,480,489.45
07-11-2019,483,483,475.7,478.7
06-11-2019,468.25,483.9,464.7,480.6
05-11-2019,472.35,474,466.8,468.25
04-11-2019,462.6,472.15,462.6,470.35
01-11-2019,466.9,467.3,460.4,462.1
31-10-2019,474.5,476.95,461.3,462.85
30-10-2019,479,480,470.05,471.05
29-10-2019,470,481.95,467,477.55
27-10-2019,472,473,465,469.4
25-10-2019,457.6,470.7,454.65,469.1
24-10-2019,456.5,458.8,451.05,454.65
