Date,Open,High,Low,Close
01-01-2020,46.9,47.5,46.5,46.65
31-12-2019,47.25,48.05,46.35,46.95
30-12-2019,47.6,48.95,46.7,47.35
27-12-2019,49.4,49.8,47.7,48
26-12-2019,51,51.6,48.25,48.7
24-12-2019,50.1,52,50.05,51.2
23-12-2019,50.95,52.3,48.8,49.65
20-12-2019,49.75,53.5,48.5,51.35
19-12-2019,46,51.4,45,49.9
18-12-2019,48.05,48.2,46.05,46.75
17-12-2019,47.25,48.15,46.8,47.6
16-12-2019,47,48,46,46.8
13-12-2019,45.75,47.65,45.5,46.65
12-12-2019,43.25,48.15,42.9,45.35
11-12-2019,49.3,49.3,40.7,42.8
10-12-2019,55,56.3,49.3,50.55
09-12-2019,56,58.8,53.8,56.2
06-12-2019,61,61,55.2,56
05-12-2019,63.05,64,60.8,62.1
04-12-2019,58.75,63.45,56.8,63.05
03-12-2019,64.1,65.35,59,59.5
02-12-2019,70,70.5,63.1,64.05
29-11-2019,72,74.1,67.6,68.3
28-11-2019,69.5,70.65,68.35,70.05
27-11-2019,68.3,68.85,65.7,68.25
26-11-2019,64.4,67.5,62.55,63.4
25-11-2019,65,65.5,62.35,63.7
22-11-2019,64.2,66.15,64.1,64.8
21-11-2019,66.6,67.2,63.9,64.25
20-11-2019,62.2,66.4,62,65.85
19-11-2019,65.5,67.25,63,64.15
18-11-2019,69.1,69.45,65.5,65.9
15-11-2019,69.1,70.2,68.3,68.7
14-11-2019,68.75,70.8,67.15,68.75
13-11-2019,74.6,75.35,67.2,68.25
11-11-2019,69.9,73.55,69.2,73
08-11-2019,66,72.3,64.35,69
07-11-2019,68,69.5,66,66.5
06-11-2019,68.5,71.2,67.35,68.75
05-11-2019,70.4,71.9,67.25,68.35
04-11-2019,59.95,71.35,59.95,66.1
01-11-2019,71,71.85,65,66.6
31-10-2019,56.2,76.65,54.9,70.45
30-10-2019,59,59.6,55.9,56.8
29-10-2019,54.45,59.9,53.15,58.2
27-10-2019,55.25,56.5,54.15,54.75
25-10-2019,48.55,54.35,45.75,52.15
24-10-2019,51.2,52.6,47.45,48.3
23-10-2019,51.9,53.5,49.2,51.25
22-10-2019,53,56.5,50.25,51.8
18-10-2019,46.8,52.3,46,51.4
17-10-2019,41.9,48.2,40.65,47.4
16-10-2019,40.65,42.05,39.8,41.15
15-10-2019,41,41.4,39,40.6
14-10-2019,39.95,41.5,38.8,40
11-10-2019,41,41.95,37,39.6
10-10-2019,41.85,42.7,40.2,40.95
09-10-2019,45.55,45.55,41.05,43.2
07-10-2019,45.95,46.7,42.85,45.6
04-10-2019,44.9,45.9,40.95,42.15
